Unopt | Size 5 | 0.001 seconds | 1049 | [4, 3, 1, 2, 0]
Unopt | Size 6 | 0.004 seconds | 814 | [5, 3, 4, 2, 1, 0]
Unopt | Size 7 | 0.029 seconds | 1248 | [4, 3, 0, 2, 6, 5, 1]
Unopt | Size 8 | 0.268 seconds | 1111 | [2, 1, 6, 4, 3, 5, 7, 0]
Unopt | Size 9 | 2.503 seconds | 1302 | [6, 5, 8, 4, 1, 3, 7, 2, 0]
Unopt | Size 10 | 29.478 seconds | 1188 | [9, 4, 0, 6, 7, 1, 5, 8, 3, 2]

Opt 1 | Size 6 | 0.001 seconds | 1360 | [4, 2, 3, 0, 1, 5]
Opt 1 | Size 7 | 0.004 seconds | 1151 | [1, 3, 2, 4, 5, 0, 6]
Opt 1 | Size 8 | 0.035 seconds | 1390 | [4, 5, 2, 0, 1, 6, 3, 7]
Opt 1 | Size 9 | 0.296 seconds | 1667 | [4, 0, 3, 7, 5, 6, 2, 1, 8]
Opt 1 | Size 10 | 3.278 seconds | 1400 | [1, 7, 0, 6, 3, 4, 8, 5, 2, 9]
Opt 1 | Size 11 | 31.757 seconds | 1400 | [2, 8, 4, 6, 0, 5, 1, 7, 9, 3, 10]

Opt 2 | Size 7 | 0.003 seconds | 1199 | [2, 1, 5, 4, 3, 0, 6]
Opt 2 | Size 8 | 0.023 seconds | 1418 | [6, 3, 0, 2, 4, 1, 5, 7]
Opt 2 | Size 9 | 0.169 seconds | 1221 | [4, 5, 3, 0, 7, 2, 6, 1, 8]
Opt 2 | Size 10 | 1.271 seconds | 1472 | [7, 3, 1, 6, 8, 4, 5, 2, 0, 9]
Opt 2 | Size 11 | 12.363 seconds | 1288 | [7, 1, 0, 2, 5, 4, 8, 6, 9, 3, 10]
Opt 2 | Size 12 | 143.118 seconds | 1461 | [9, 5, 4, 2, 3, 1, 10, 6, 7, 0, 8, 11]

Opt 3 | Size 8 | 0.008 seconds | 1278 | [2, 6, 5, 1, 3, 4, 0, 7]
Opt 3 | Size 9 | 0.031 seconds | 1149 | [3, 5, 4, 7, 6, 2, 0, 1, 8]
Opt 3 | Size 10 | 0.151 seconds | 1303 | [1, 0, 5, 3, 2, 6, 4, 8, 7, 9]
Opt 3 | Size 11 | 0.531 seconds | 1372 | [5, 6, 1, 3, 9, 4, 7, 8, 0, 2, 10]
Opt 3 | Size 12 | 8.695 seconds | 1865 | [10, 5, 9, 1, 0, 7, 6, 4, 2, 8, 3, 11]
Opt 3 | Size 13 | 6.226 seconds | 1624 | [1, 11, 10, 7, 3, 9, 6, 8, 4, 2, 5, 0, 12]

Opt 4 | Size 10 | 0.052 seconds | 1658 | [3, 8, 1, 2, 7, 4, 5, 0, 6, 9]
Opt 4 | Size 11 | 0.040 seconds | 1414 | [2, 9, 3, 8, 4, 7, 5, 1, 0, 6, 10]
Opt 4 | Size 12 | 0.924 seconds | 1550 | [1, 9, 2, 7, 5, 10, 8, 0, 4, 3, 6, 11]
Opt 4 | Size 13 | 3.076 seconds | 1867 | [11, 4, 5, 7, 3, 8, 6, 2, 0, 1, 10, 9, 12]
Opt 4 | Size 14 | 9.413 seconds | 1755 | [4, 7, 1, 0, 6, 3, 9, 8, 2, 5, 12, 10, 11, 13]
Opt 4 | Size 15 | 27.708 seconds | 1466 | [9, 10, 4, 13, 12, 5, 8, 6, 3, 11, 1, 7, 2, 0, 14]
Opt 4 | Size 16 | 530.096 seconds | 2043 | [1, 4, 5, 14, 0, 12, 7, 2, 10, 6, 11, 3, 13, 8, 9, 15]
Opt 4 | Size 17 | 28.270 seconds | 1718 | [8, 12, 0, 4, 14, 2, 1, 5, 6, 11, 15, 9, 13, 10, 7, 3, 16]
Opt 4 | Size 18 | 271.080 seconds | 1726 | [2, 13, 16, 4, 0, 6, 3, 9, 12, 14, 1, 5, 8, 15, 7, 10, 11, 17]
Opt 4 | Size 19 | 895.793 seconds | 2140 | [6, 14, 12, 4, 16, 9, 0, 17, 15, 11, 2, 3, 8, 13, 10, 1, 7, 5, 18]
Opt 4 | Size 20 | 10.638 seconds | 1749 | [14, 1, 2, 15, 17, 10, 7, 3, 6, 18, 16, 9, 4, 8, 13, 11, 5, 12, 0, 19]

Opt 5 | Size 10 | 0.065 seconds | 1344 | [3, 1, 4, 6, 0, 7, 2, 8, 5, 9]
Opt 5 | Size 11 | 0.064 seconds | 1832 | [1, 2, 3, 8, 7, 9, 5, 0, 4, 6, 10]
Opt 5 | Size 12 | 0.132 seconds | 1508 | [10, 4, 9, 2, 6, 3, 7, 1, 8, 5, 0, 11]
Opt 5 | Size 13 | 0.675 seconds | 1649 | [3, 4, 10, 8, 9, 2, 1, 0, 5, 11, 6, 7, 12]
Opt 5 | Size 14 | 0.199 seconds | 1548 | [6, 4, 1, 5, 10, 8, 11, 9, 2, 7, 0, 12, 3, 13]
Opt 5 | Size 15 | 0.764 seconds | 1781 | [2, 8, 1, 5, 6, 7, 12, 3, 4, 10, 11, 9, 0, 13, 14]
Opt 5 | Size 16 | 2.770 seconds | 1970 | [14, 13, 10, 6, 5, 3, 1, 9, 7, 4, 0, 12, 2, 11, 8, 15]
Opt 5 | Size 17 | 10.071 seconds | 1429 | [8, 0, 4, 1, 7, 6, 12, 15, 5, 10, 9, 14, 3, 13, 2, 11, 16]
Opt 5 | Size 18 | 19.652 seconds | 1832 | [15, 13, 5, 0, 10, 2, 11, 6, 3, 9, 14, 4, 16, 1, 8, 7, 12, 17]
Opt 5 | Size 19 | 103.307 seconds | 2025 | [10, 5, 16, 8, 12, 2, 13, 9, 0, 3, 14, 4, 15, 17, 6, 11, 7, 1, 18]
Opt 5 | Size 20 | 22.544 seconds | 2121 | [5, 1, 13, 4, 18, 12, 14, 3, 7, 8, 15, 2, 11, 16, 0, 10, 9, 17, 6, 19]
Opt 5 | Size 21 | 17.123 seconds | 1976 | [17, 3, 4, 12, 9, 14, 5, 8, 2, 15, 7, 10, 13, 18, 0, 6, 19, 11, 1, 16, 20]
Opt 5 | Size 22 | 774.152 seconds | 2162 | [17, 18, 3, 19, 14, 16, 1, 8, 20, 15, 9, 12, 13, 4, 6, 10, 5, 7, 0, 11, 2, 21]
Opt 5 | Size 23 | 123.797 seconds | 2029 | [11, 18, 7, 15, 20, 12, 2, 13, 4, 9, 3, 19, 0, 14, 6, 10, 8, 16, 5, 1, 17, 21, 22]
Opt 5 | Size 24 | 215.023 seconds | 2186 | [9, 12, 17, 20, 21, 11, 6, 16, 3, 10, 7, 2, 0, 22, 15, 1, 14, 19, 4, 18, 13, 8, 5, 23]

Opt 6 | Size 15 | 3.199 seconds | 1884 | [ 9 10  6  1  8  2  3 11  5 13  7  4  0 12 14]
Opt 6 | Size 16 | 4.497 seconds | 1640 | [ 8 10  9  1  3 13  5  2  6 12 11  4 14  0  7 15]
Opt 6 | Size 17 | 0.975 seconds | 1629 | [11 10  3  2  8  9  7  4  0 15 14  6  5  1 13 12 16]
Opt 6 | Size 18 | 6.738 seconds | 1915 | [16  8  5  9  0  3 12 13 11  4 14  7  6  1  2 10 15 17]
Opt 6 | Size 19 | 51.272 seconds | 2201 | [16  8  0  6  3 17  9 11  5 15  1  4 10 12  7  2 13 14 18]
Opt 6 | Size 20 | 110.781 seconds | 2031 | [14  9 16  1  5 12  0  2 18 15 13  4 11  7  8 10 17  6  3 19]
Opt 6 | Size 21 | 49.897 seconds | 1891 | [ 8 14  6  0 11 16  3  5 10 13 12  9  4  7 15 19  1 18 17  2 20]
Opt 6 | Size 22 | 10.995 seconds | 1922 | [ 4 20  9 19 18 13  0  6 17  5 16  2 11 12  1  7 14  8  3 10 15 21]
Opt 6 | Size 23 | 162.669 seconds | 1910 | [19  2  7 16 21  1 12  3 20  8 14  6 15  9 17 10 13  4  0 11  5 18 22]
Opt 6 | Size 24 | 240.057 seconds | 1934 | [ 8 13 11 21 22 18 19 12  4  1  6  2 10  9  0 17 14 16  5 20  3  7 15 23]
Opt 6 | Size 25 | 206.951 seconds | 2084 | [ 3 18 20 10  6  0 22 23  8  2  7 17 14 16  4 21 19 12  9  5 13 15  1 11 24]

Opt 7 | Size 15 | 4.081 seconds | 1354 | [12  8  5  7 10  6  2 13 11  9  1  4  3  0 14]
Opt 7 | Size 16 | 2.139 seconds | 1671 | [ 5  6 11  0  9  4 13  1 14  7 10  8  3 12  2 15]
Opt 7 | Size 17 | 4.842 seconds | 1628 | [14 12  8  5  3 15 10  6  9  1 11 13  7  2  4  0 16]
Opt 7 | Size 18 | 15.491 seconds | 1548 | [ 2 15 16 11  6  1  9  3 12  4 14  0  5 13 10  7  8 17]
Opt 7 | Size 19 | 43.591 seconds | 1800 | [ 2 13 17 10 12 14  8  3 11  6  1 15  4  9 16  5  7  0 18]
Opt 7 | Size 20 | 67.073 seconds | 2234 | [14  8  9 10 15  3  4  7  1 16 13  0 18  5 12  6 17 11  2 19]
Opt 7 | Size 21 | 12.865 seconds | 1746 | [ 3  7 15  5 13  4 16 11 12  2 14  9 19 10 18 17  8  6  1  0 20]
Opt 7 | Size 22 | 3994.274 seconds | 2038 | [15  5  6 20  3 19  2  4 13 18  7 11  9 10  0 14 12 17  1 16  8 21]
Opt 7 | Size 23 | 113.522 seconds | 1944 | [18 12  6 10 14  5  4 15  3 21  7  8 20 13  2 17 19  1  0 11 16  9 22]
Opt 7 | Size 24 | 84.377 seconds | 2112 | [ 9 21 11 14  1 17  6 13 18  3 15 12  5 16  0  7 20 22 10  2  4 19  8 23]
Opt 7 | Size 25 | 33.781 seconds | 2222 | [ 4 22  6  0  2 18 21 12  8 16  3  7 14 13 19 17  9 15 11 10 23  1  5 20 24]
